1	Remote	Booth	Station	Line Name	Division
2	R001	A060	WHITEHALL ST	R1	BMT
3	R001	A058	WHITEHALL ST	R1	BMT
4	R001	R101S	SOUTH FERRY	R1	IRT
5	R002	A077	FULTON ST	ACJZ2345	BMT
6	R002	A081	FULTON ST	ACJZ2345	BMT
7	R002	A082	FULTON ST	ACJZ2345	BMT
8	R003	J025	CYPRESS HILLS	J	BMT
9	R004	J028	ELDERTS LANE	JZ	BMT
10	R005	J030	FOREST PARKWAY	J	BMT
11	R006	J031	WOODHAVEN BLVD	JZ	BMT
12	R006	J032	WOODHAVEN BLVD	JZ	BMT
13	R007	J034	104 ST	JZ	BMT
14	R008	J035	111 ST	J	BMT
15	R009	J037	121 ST	JZ	BMT
16	R010	N062A	42 ST-PA BUS TE	ACENQRS1237	IND
17	R010	N060	42 ST-PA BUS TE	ACENQRS1237	IND
18	R011	N063A	42 ST-PA BUS TE	ACENQRS1237	IND
19	R011	N062	42 ST-PA BUS TE	ACENQRS1237	IND
20	R011	N063	42 ST-PA BUS TE	ACENQRS1237	IND
21	R012	N067	34 ST-PENN STA	ACE	IND
22	R012	N065	34 ST-PENN STA	ACE	IND
23	R012	N068	34 ST-PENN STA	ACE	IND
24	R012	N070	34 ST-PENN STA	ACE	IND
25	R012	N072	34 ST-PENN STA	ACE	IND
26	R013	N071	34 ST-PENN STA	ACE	IND
27	R013	N069	34 ST-PENN STA	ACE	IND
28	R013	N073	34 ST-PENN STA	ACE	IND
29	R014	N095	FULTON ST	ACJZ2345	IND
30	R014	R205	FULTON ST	ACJZ2345	IRT
31	R014	R206	FULTON ST	2345ACJZ	IRT
32	R014	R208	FULTON ST	2345ACJZ	IRT
33	R014	R205A	FULTON ST	2345ACJZ	IRT
34	R015	N303	5 AVE-53 ST	EM	IND
35	R015	N304	5 AVE-53 ST	EM	IND
36	R016	N305A	LEXINGTON-53 ST	EM6	IND
37	R017	N306	LEXINGTON-53 ST	EM6	IND
38	R017	N305	LEXINGTON-53 ST	EM6	IND
39	R018	N324	ROOSEVELT AVE	EFMR7	IND
40	R018	N323	ROOSEVELT AVE	EFMR7	IND
41	R018	R525	74 ST-BROADWAY	EFMR7	IRT
42	R019	N343	JAMAICA-179 ST	F	IND
43	R019	N342	JAMAICA-179 ST	F	IND
44	R020	N500	47-50 ST-ROCK	BDFM	IND
45	R020	N501	47-50 ST-ROCK	BDFM	IND
46	R020	N501A	47-50 ST-ROCK	BDFM	IND
47	R021	N503	42 ST-BRYANT PK	BDFM7	IND
48	R021	N502	42 ST-BRYANT PK	BDFM7	IND
49	R021	N504	42 ST-BRYANT PK	BDFM7	IND
50	R022	N506	34 ST-HERALD SQ	BDFMNQR	IND
51	R022	A022	34 ST-HERALD SQ	BDFMNQR	BMT
52	R022	N505	34 ST-HERALD SQ	BDFMNQR	IND
53	R023	N507	34 ST-HERALD SQ	BDFMNQR	IND
54	R023	A025	34 ST-HERALD SQ	BDFMNQR	BMT
55	R024	N605	SUTPHIN BLVD	EJZ	IND
56	R025	N606	JAMAICA CENTER	EJZ	IND
57	R025	N607	JAMAICA CENTER	EJZ	IND
58	R027	R111	WALL ST	23	IRT
59	R027	R110	WALL ST	23	IRT
60	R027	R112	WALL ST	23	IRT
61	R027	R112A	WALL ST	23	IRT
62	R028	R113A	FULTON ST	2345ACJZ	IRT
63	R028	R113	FULTON ST	2345ACJZ	IRT
64	R028	R114	FULTON ST	2345ACJZ	IRT
65	R029	R115	PARK PLACE	23ACE	IRT
66	R029	N094	WORLD TRADE CTR	23ACE	IND
67	R029	N091	CHAMBERS ST	ACE23	IND
68	R029	N092	CHAMBERS ST	ACE23	IND
69	R030	R116	CHAMBERS ST	123	IRT
